alias,ingredient_name,source,confidence,note
다시멸치,국물용멸치,seed,0.90,
마른미역,건미역,seed,0.95,
건다시마,다시마,seed,0.95,
마른다시마,다시마,seed,0.90,
노랑태,황태,seed,0.85,
마른명태,북어,seed,0.85,
고등어살,고등어,seed,0.90,
연어살,연어,seed,0.90,
바지락살,바지락,seed,0.90,
생굴,굴,seed,0.90,
밀크,우유,seed,0.85,
흰우유,우유,seed,0.95,
동물성생크림,생크림,seed,0.95,
모짜렐라,모짜렐라치즈,seed,0.95,
모차렐라,모짜렐라치즈,seed,0.95,
파마산,파마산치즈,seed,0.95,
파르마산,파마산치즈,seed,0.90,
파메산,파마산치즈,seed,0.90,
체다,체다치즈,seed,0.95,
치즈,슬라이스치즈,seed,0.50,종류 미상. 검수 권장
부침두부,부침용두부,seed,0.95,
찌개두부,찌개용두부,seed,0.95,
모두부,두부,seed,0.85,
오뎅,어묵,seed,0.95,매우 흔한 변형
게맛살,맛살,seed,0.95,
크래미,맛살,seed,0.90,
런천미트,스팸,seed,0.85,
부대찌개햄,스팸,seed,0.75,
캔햄,스팸,seed,0.85,
국수,소면,seed,0.75,면 종류 미상
국수면,소면,seed,0.80,
잔치국수면,소면,seed,0.90,
라면,라면사리,seed,0.80,
사리면,라면사리,seed,0.90,
잡채면,당면,seed,0.90,
넓적당면,당면,seed,0.90,
스파게티,스파게티면,seed,0.95,
파스타,파스타면,seed,0.90,
떡볶이용떡,떡볶이떡,seed,0.98,
밀떡,떡볶이떡,seed,0.80,
쌀떡,떡볶이떡,seed,0.80,
떡국용떡,떡국떡,seed,0.98,
포기김치,배추김치,seed,0.90,
신김치,배추김치,seed,0.90,
묵은지,배추김치,seed,0.85,
익은김치,배추김치,seed,0.90,
김치,배추김치,seed,0.85,종류 미상. 기본은 배추김치
토르티야,또띠아,seed,0.90,
왜간장,진간장,seed,0.85,
조선간장,국간장,seed,0.95,
집간장,국간장,seed,0.90,
재래간장,국간장,seed,0.90,
재래된장,된장,seed,0.90,
막장,된장,seed,0.70,엄밀히 다름. 검수 권장
태양초고추장,고추장,seed,0.90,
고추가루,고춧가루,seed,0.98,구 표기 및 흔한 오타
고추분,고춧가루,seed,0.80,
태양초고춧가루,고춧가루,seed,0.95,
정제염,소금,seed,0.85,
백설탕,설탕,seed,0.95,
정백당,설탕,seed,0.80,
프락토올리고당,올리고당,seed,0.95,
시럽,물엿,seed,0.60,종류 미상. 검수 권장
콩기름,식용유,seed,0.90,
대두유,식용유,seed,0.85,
튀김기름,식용유,seed,0.85,
오일,식용유,seed,0.55,올리브유일 가능성 있음
올리브오일,올리브유,seed,0.95,
엑스트라버진올리브유,올리브유,seed,0.95,
후춧가루,후추,seed,0.98,
후추가루,후추,seed,0.95,
흑후추,후추,seed,0.90,
마늘다진것,다진마늘,seed,0.95,
갈은마늘,다진마늘,seed,0.90,
찧은마늘,다진마늘,seed,0.90,
생강다진것,다진생강,seed,0.95,
갈은생강,다진생강,seed,0.90,
요리술,맛술,seed,0.90,
조리술,맛술,seed,0.90,
미향,맛술,seed,0.75,브랜드 통칭
정종,청주,seed,0.85,
액젓,멸치액젓,seed,0.80,까나리액젓일 가능성 있음
멸치젓국,멸치액젓,seed,0.90,
새우젓갈,새우젓,seed,0.95,
토마토케첩,케첩,seed,0.98,
케찹,케첩,seed,0.95,오타
마요,마요네즈,seed,0.90,
마요네스,마요네즈,seed,0.90,오타
오이스터소스,굴소스,seed,0.95,
조미료,다시다,seed,0.55,미원일 가능성 있음. 검수 권장
카레분말,카레가루,seed,0.95,
커리가루,카레가루,seed,0.90,
계피,계피가루,seed,0.85,
시나몬,계피가루,seed,0.85,
시나몬파우더,계피가루,seed,0.90,
파슬리가루,파슬리,seed,0.90,
드라이파슬리,파슬리,seed,0.90,
바질가루,바질,seed,0.90,
말린바질,바질,seed,0.90,
월계수,월계수잎,seed,0.90,
베이리프,월계수잎,seed,0.85,
고수잎,고수,seed,0.95,
실란트로,고수,seed,0.85,
가쓰오,가쓰오부시,seed,0.90,
가다랑어포,가쓰오부시,seed,0.90,
미소,미소된장,seed,0.90,
피쉬소스,피시소스,seed,0.95,
느억맘,피시소스,seed,0.80,
스윗칠리소스,스위트칠리소스,seed,0.95,
발사믹,발사믹식초,seed,0.90,
발사믹비네거,발사믹식초,seed,0.90,
양조식초,식초,seed,0.90,
2배식초,식초,seed,0.80,
아카시아꿀,꿀,seed,0.90,
폰즈,폰즈소스,seed,0.90,
스위트칠리,스위트칠리소스,seed,0.90,
깨소금,참깨,review,0.95,검수
매실액,매실청,review,0.95,검수
간마늘,다진마늘,review,0.95,검수
기름,식용유,review,0.95,검수
고추,풋고추,review,0.95,검수
김가루,김,review,0.95,검수
슈가파우더,설탕,review,0.95,검수
다진대파,대파,review,0.95,검수
다진양파,양파,review,0.95,검수
대패삼겹살,삼겹살,review,0.95,검수
멸치다시마육수,멸치육수,review,0.95,검수
파마산치즈가루,파마산치즈,review,0.95,검수
마늘쫑,마늘종,review,0.95,검수
진미채,오징어채,review,0.95,검수
요리당,올리고당,review,0.95,검수
소세지,소시지,review,0.95,검수
아몬드가루,아몬드,review,0.95,검수
빨간 파프리카,파프리카,review,0.95,검수
다진 양파,양파,review,0.95,검수
다진 대파,대파,review,0.95,검수
청피망,피망,review,0.95,검수
빨강파프리카,파프리카,review,0.95,검수
비엔나소세지,비엔나소시지,review,0.95,검수
노랑파프리카,파프리카,review,0.95,검수
매실액기스,매실청,review,0.95,검수
노란 파프리카,파프리카,review,0.95,검수
돼지고기 앞다리살,앞다리살,review,0.95,검수
땡초,청양고추,review,0.95,검수
페페론치노,페퍼론치노,review,0.95,검수
삶은계란,달걀,review,0.95,검수
집된장,된장,review,0.95,검수
식용류,식용유,review,0.95,검수
간 마늘,다진마늘,review,0.95,검수
빨강 파프리카,파프리카,review,0.95,검수
김밥김,김,review,0.95,검수
홍피망,피망,review,0.95,검수
코코아가루,코코아파우더,review,0.95,검수
고운소금,소금,review,0.95,검수
멸치가루,멸치,review,0.95,검수
돼지고기앞다리살,앞다리살,review,0.95,검수
노랑 파프리카,파프리카,review,0.95,검수
머스터드,머스타드,review,0.95,검수
새우살,새우,review,0.95,검수
빨간파프리카,파프리카,review,0.95,검수
전분물,전분,review,0.95,검수
녹인버터,버터,review,0.95,검수
시나몬가루,계피가루,review,0.95,검수
양파중,양파,review,0.95,검수
갈은깨,참깨,review,0.95,검수
머스터드소스,머스타드,review,0.95,검수
양파 작은것,양파,review,0.95,검수
다진당근,당근,review,0.95,검수
배즙,배,review,0.95,검수
갈색설탕,설탕,review,0.95,검수
카레,카레가루,review,0.95,검수
양파 작은거,양파,review,0.95,검수
돼지고기 목살,목살,review,0.95,검수
김밥용김,김,review,0.95,검수
밀가루박력분,박력분,review,0.95,검수
다크초콜릿,초콜릿,review,0.95,검수
노란파프리카,파프리카,review,0.95,검수
명란,명란젓,review,0.95,검수
조림간장,간장,review,0.95,검수
감자중,감자,review,0.95,검수
다진청양고추,청양고추,review,0.95,검수
드라이이스트,이스트,review,0.95,검수
찹쌀풀,찹쌀가루,review,0.95,검수
머스타드소스,머스타드,review,0.95,검수
겨자,겨자가루,review,0.95,검수
다진 청양고추,청양고추,review,0.95,검수
옥수수통조림,옥수수콘,review,0.95,검수
돈가스소스,돈까스소스,review,0.95,검수
파마산 치즈가루,파마산치즈,review,0.95,검수
멸치 육수용,멸치,review,0.95,검수
송송 썬 대파,대파,review,0.95,검수
양파즙,양파,review,0.95,검수
돼지고기목살,목살,review,0.95,검수
김밥용 김,김,review,0.95,검수
볶은참깨,참깨,review,0.95,검수
소고기국거리,국거리용소고기,review,0.95,검수
대파 10cm,대파,review,0.95,검수
청양고춧가루,고춧가루,review,0.95,검수
소불고기,불고기용소고기,review,0.95,검수
고추장 듬뿍,고추장,review,0.95,검수
블랙올리브,올리브,review,0.95,검수
녹말물,전분,review,0.95,검수
가는소금,소금,review,0.95,검수
스위트콘,옥수수콘,review,0.95,검수
아몬드 가루,아몬드,review,0.95,검수
돼지고기 안심,돼지안심,review,0.95,검수
술,청주,review,0.95,검수
슬라이스아몬드,아몬드,review,0.95,검수
콩가루,대두,review,0.95,검수
쭈꾸미,주꾸미,review,0.95,검수
썬파,대파,review,0.95,검수
후춧가루 소량,후추,review,0.95,검수
중멸치,멸치,review,0.95,검수
새우가루,건새우,review,0.95,검수
요거트,플레인요거트,review,0.95,검수
다시팩,멸치다시팩,review,0.95,검수
다진 당근,당근,review,0.95,검수
옥수수캔,옥수수콘,review,0.95,검수
참치통조림,참치캔,review,0.95,검수
영양부추,부추,review,0.95,검수
매실원액,매실청,review,0.95,검수
돼지등갈비,등갈비,review,0.95,검수
김치 국물,배추김치,review,0.95,검수
양파소,양파,review,0.95,검수
통삼겹살,삼겹살,review,0.95,검수
배춧잎,배추,review,0.95,검수
따뜻한 물,물,review,0.95,검수
고추장 크게,고추장,review,0.95,검수
삶은 계란,달걀,review,0.95,검수
케챱,케첩,review,0.95,검수
돼지고기 찌개용,돼지고기,review,0.95,검수
다진쪽파,쪽파,review,0.95,검수
감자 중간크기,감자,review,0.95,검수
고운 소금,소금,review,0.95,검수
대패 삼겹살,삼겹살,review,0.95,검수
홍파프리카,파프리카,review,0.95,검수
고운고추가루,고춧가루,review,0.95,검수
통조림햄,햄,review,0.95,검수
감자 작은거,감자,review,0.95,검수
바게트빵,바게트,review,0.95,검수
주황 파프리카,파프리카,review,0.95,검수
고추참치,참치캔,review,0.95,검수
우동사리,우동면,review,0.95,검수
콘옥수수,옥수수콘,review,0.95,검수
비엔나 소세지,비엔나소시지,review,0.95,검수
볶은 참깨,참깨,review,0.95,검수
배추잎,배추,review,0.95,검수
계핏가루,계피가루,review,0.95,검수
납작어묵,어묵,review,0.95,검수
소고기 국거리,국거리용소고기,review,0.95,검수
모차렐라치즈,모짜렐라치즈,review,0.95,검수
흰설탕,설탕,review,0.95,검수
비정제황설탕,황설탕,review,0.95,검수
토마토케찹,케첩,review,0.95,검수
슈거파우더,설탕,review,0.95,검수
양파 중간크기,양파,review,0.95,검수
간생강,다진생강,review,0.95,검수
매실엑기스,매실청,review,0.95,검수
파프리카 빨강,파프리카,review,0.95,검수
체다슬라이스치즈,체다치즈,review,0.95,검수
다진홍고추,홍고추,review,0.95,검수
고형카레,카레가루,review,0.95,검수
인스턴트드라이이스트,이스트,review,0.95,검수
구운소금,소금,review,0.95,검수
적채,적양배추,review,0.95,검수
소고기 불고기용,불고기용소고기,review,0.95,검수
얼갈이,얼갈이배추,review,0.95,검수
돼지앞다리살,앞다리살,review,0.95,검수
송송썬파,대파,review,0.95,검수
매운고춧가루,고춧가루,review,0.95,검수
소금 간맞추기,소금,review,0.95,검수
표고버섯가루,건표고버섯,review,0.95,검수
만능간장,간장,review,0.95,검수
감자 중,감자,review,0.95,검수
주황파프리카,파프리카,review,0.95,검수
실온 무염버터,무염버터,review,0.95,검수
참기름 1바퀴,참기름,review,0.95,검수
국멸치,멸치,review,0.95,검수
김장김치,배추김치,review,0.95,검수
파프리카 노랑,파프리카,review,0.95,검수
슈가 파우더,설탕,review,0.95,검수
씨겨자,홀그레인머스타드,review,0.95,검수
돼지고기 등심,돼지등심,review,0.95,검수
간양파,양파,review,0.95,검수
돼지고기안심,돼지안심,review,0.95,검수
미니새송이버섯,새송이버섯,review,0.95,검수
묵은김치,배추김치,review,0.95,검수
소고기불고기,불고기용소고기,review,0.95,검수
치즈가루,파마산치즈,review,0.95,검수
밀가루 박력분,박력분,review,0.95,검수
칼국수,칼국수면,review,0.95,검수
볶은소금,소금,review,0.95,검수
송송 썬 쪽파,쪽파,review,0.95,검수
황태포,황태,review,0.95,검수
양파대,양파,review,0.95,검수
녹인 버터,버터,review,0.95,검수
소금 소량,소금,review,0.95,검수
사과즙,사과,review,0.95,검수
돼지고기등심,돼지등심,review,0.95,검수
불린쌀,쌀,review,0.95,검수
부순 깨,참깨,review,0.95,검수
불린 쌀,쌀,review,0.95,검수
후추 소량,후추,review,0.95,검수
다진 쪽파,쪽파,review,0.95,검수
들깻가루,들깨가루,review,0.95,검수
아몬드파우더,아몬드,review,0.95,검수
송송 썬 파,대파,review,0.95,검수
돼지고기 잡채용,돼지고기,review,0.95,검수
소고기양지,양지,review,0.95,검수
깻잎 1묶음,깻잎,review,0.95,검수
밀가루중력분,중력분,review,0.95,검수
고구마줄기,고구마순,review,0.95,검수
후추 톡,후추,review,0.95,검수
감자 큰거,감자,review,0.95,검수
쥬키니호박,주키니,review,0.95,검수
맛술 미림,맛술,review,0.95,검수
박력쌀가루,쌀가루,review,0.95,검수
오이피클,피클,review,0.95,검수
다진김치,배추김치,review,0.95,검수
양파 중,양파,review,0.95,검수
깻잎순,깻잎,review,0.95,검수
후추 2번,후추,review,0.95,검수
다시마 5cm x 5cm,다시마,review,0.95,검수
두부 300g,두부,review,0.95,검수
허브소금,소금,review,0.95,검수
소고기 불고기감,불고기용소고기,review,0.95,검수
닭 볶음탕용,닭고기,review,0.95,검수
파슬리가루 생략가능,파슬리,review,0.95,검수
슬라이스 아몬드,아몬드,review,0.95,검수
감자 작은것,감자,review,0.95,검수
애느타리버섯,느타리버섯,review,0.95,검수
시판된장,된장,review,0.95,검수
홍청양고추,홍고추,review,0.95,검수
지리멸치,잔멸치,review,0.95,검수
채 썬 양파,양파,review,0.95,검수
구운김,김,review,0.95,검수
다시마멸치육수,멸치육수,review,0.95,검수
매운 고춧가루,고춧가루,review,0.95,검수
양파 큰거,양파,review,0.95,검수
부순깨,참깨,review,0.95,검수
고운 고추가루,고춧가루,review,0.95,검수
돈가스 소스,돈까스소스,review,0.95,검수
미니파프리카,파프리카,review,0.95,검수
비엔나,비엔나소시지,review,0.95,검수
깐메추리알,메추리알,review,0.95,검수
소고기 국거리용,국거리용소고기,review,0.95,검수
양파 소,양파,review,0.95,검수
계란물,달걀,review,0.95,검수
차가운 버터,버터,review,0.95,검수
불고기,불고기용소고기,review,0.95,검수
청양고추 생략가능,청양고추,review,0.95,검수
대파 송송,대파,review,0.95,검수
빵,식빵,review,0.95,검수
둥근호박,애호박,review,0.95,검수
국물멸치,멸치,review,0.95,검수
우스타소스,우스터소스,review,0.95,검수
간 생강,다진생강,review,0.95,검수
식용유 넉넉하게,식용유,review,0.95,검수
돼지 앞다리살,앞다리살,review,0.95,검수
자색양파,양파,review,0.95,검수
쌀엿,조청,review,0.95,검수
당근 소량,당근,review,0.95,검수
땅콩분태,땅콩,review,0.95,검수
체더치즈,체다치즈,review,0.95,검수
레드페퍼,홍고추,review,0.95,검수
부순 참깨,참깨,review,0.95,검수
새우젓국물,새우젓,review,0.95,검수
가는 소금,소금,review,0.95,검수
다진피클,피클,review,0.95,검수
양파 작은 것,양파,review,0.95,검수
간 양파,양파,review,0.95,검수
밀가루강력분,강력분,review,0.95,검수
잡채용 돼지고기,돼지고기다짐육,review,0.95,검수
쌀국수,쌀국수면,review,0.95,검수
소고기등심,소등심,review,0.95,검수
홀그레인머스터드,홀그레인머스타드,review,0.95,검수
참치 150g,참치,review,0.95,검수
차가운 물,물,review,0.95,검수
포도씨오일,포도씨유,review,0.95,검수
인스턴트 드라이이스트,이스트,review,0.95,검수
굵은고추가루,고춧가루,review,0.95,검수
주키니호박,주키니,review,0.95,검수
다진 홍고추,홍고추,review,0.95,검수
찐고구마,고구마,review,0.95,검수
메밀국수,메밀면,review,0.95,검수
다진고추,풋고추,review,0.95,검수
사골국물,사골육수,review,0.95,검수
납작당면,당면,review,0.95,검수
자른미역,미역,review,0.95,검수
소금 기호에맞게,소금,review,0.95,검수
소고기 양지,양지,review,0.95,검수
돼지고기 삼겹살,삼겹살,review,0.95,검수
달걀물,달걀,review,0.95,검수
집고추장,고추장,review,0.95,검수
통깨 팍팍,참깨,review,0.95,검수
김밥 김,김,review,0.95,검수
케쳡,케첩,review,0.95,검수
소고기 등심,소등심,review,0.95,검수
치킨,닭고기,review,0.95,검수
사골곰탕,사골육수,review,0.95,검수
감자 큰것,감자,review,0.95,검수
파프리카노랑,파프리카,review,0.95,검수
땅콩가루,땅콩,review,0.95,검수
청양고추 선택,청양고추,review,0.95,검수
실온 버터,버터,review,0.95,검수
훈제오리고기,훈제오리,review,0.95,검수
볶음참깨,참깨,review,0.95,검수
청량초,청양고추,review,0.95,검수
썬 대파,대파,review,0.95,검수
오리훈제,훈제오리,review,0.95,검수
매실진액,매실청,review,0.95,검수
비정제 황설탕,황설탕,review,0.95,검수
양파 큰것,양파,review,0.95,검수
올리고당물엿,올리고당,review,0.95,검수
다진 쇠고기,소고기다짐육,review,0.95,검수
초록 파프리카,파프리카,review,0.95,검수
참치캔 150g,참치캔,review,0.95,검수
갈은 깨,참깨,review,0.95,검수
채썬양파,양파,review,0.95,검수
블랙 올리브,올리브,review,0.95,검수
따뜻한물,물,review,0.95,검수
홀토마토,토마토,review,0.95,검수
실온 달걀,달걀,review,0.95,검수
후추가루 소량,후추,review,0.95,검수
파프리카빨강,파프리카,review,0.95,검수
돼지고기앞다리,앞다리살,review,0.95,검수
바질잎,바질,review,0.95,검수
돼지 등갈비,등갈비,review,0.95,검수
저염 간장,간장,review,0.95,검수
페페로치노,페퍼론치노,review,0.95,검수
채 썬 파,대파,review,0.95,검수
북어포,북어채,review,0.95,검수
물엿올리고당,물엿,review,0.95,검수
감자 작은 것,감자,review,0.95,검수
초장,초고추장,review,0.95,검수
후추 3번,후추,review,0.95,검수
스팸 작은거,스팸,review,0.95,검수
조선호박,애호박,review,0.95,검수
깻잎 2묶음,깻잎,review,0.95,검수
두부 1모,두부,review,0.95,검수
채썬 양파,양파,review,0.95,검수
판어묵,어묵,review,0.95,검수
매실 진액,매실청,review,0.95,검수
비정제 설탕,설탕,review,0.95,검수
볶음깨,참깨,review,0.95,검수
홍합살,홍합,review,0.95,검수
캐첩,케첩,review,0.95,검수
대파 다진 것,대파,review,0.95,검수
홍고추 생략가능,홍고추,review,0.95,검수
대파 1뼘,대파,review,0.95,검수
대파 썰어서,대파,review,0.95,검수
닭안심살,닭안심,review,0.95,검수
요구르트,플레인요거트,review,0.95,검수
소고기 불고깃감,불고기용소고기,review,0.95,검수
양파 다진것,양파,review,0.95,검수
참기름 2바퀴,참기름,review,0.95,검수
된장 듬뿍,된장,review,0.95,검수
스팸 200g,스팸,review,0.95,검수
떡볶이,떡볶이떡,review,0.95,검수
슬라이스 체다치즈,체다치즈,review,0.95,검수
매실즙,매실청,review,0.95,검수
돼지고기삼겹살,삼겹살,review,0.95,검수
샤인머스켓,청포도,review,0.95,검수
자른 다시마,다시마,review,0.95,검수
쌀조청,조청,review,0.95,검수
시나몬 가루,계피가루,review,0.95,검수
콩나물 300g,콩나물,review,0.95,검수
떡사리,떡볶이떡,review,0.95,검수
청오이,오이,review,0.95,검수
소금 기호에 맞게 가감,소금,review,0.95,검수
마른김,김,review,0.95,검수
다진쇠고기,소고기다짐육,review,0.95,검수
달래 1묶음,달래,review,0.95,검수
건새우가루,건새우,review,0.95,검수
얼음물,찬물,review,0.95,검수
묵은지김치,배추김치,review,0.95,검수
다진마늘 크게,다진마늘,review,0.95,검수
잣가루,잣,review,0.95,검수
물 200ml,물,review,0.95,검수
양배추잎,양배추,review,0.95,검수
참치캔 100g,참치캔,review,0.95,검수
스팸 햄,스팸,review,0.95,검수
볶은통깨,참깨,review,0.95,검수
다진 땅콩,땅콩,review,0.95,검수
고춧가루 듬뿍,고춧가루,review,0.95,검수
올리고당 2바퀴,올리고당,review,0.95,검수
빨간고추,홍고추,review,0.95,검수
참치 통조림,참치캔,review,0.95,검수
청양고추 기호에맞게,청양고추,review,0.95,검수
닭볶음용,닭고기,review,0.95,검수
콩나물 크게,콩나물,review,0.95,검수
다진고기,돼지고기다짐육,review,0.95,검수
미니 새송이버섯,새송이버섯,review,0.95,검수
물 1소주잔,물,review,0.95,검수
썰은 대파,대파,review,0.95,검수
돌미나리,미나리,review,0.95,검수
멸치 다시 육수,멸치육수,review,0.95,검수
소주 1/2병,소주,review,0.95,검수
섬초,시금치,review,0.95,검수
마른 청양고추,청양고추,review,0.95,검수
모짜렐라치즈 원하는,모짜렐라치즈,review,0.95,검수
닭가슴살 2덩어리,닭가슴살,review,0.95,검수
동태포,동태,review,0.95,검수
스팸 작은것,스팸,review,0.95,검수
돼지고기 갈은것,돼지고기,review,0.95,검수
참기름 1방울,참기름,review,0.95,검수
레몬쥬스,레몬즙,review,0.95,검수
물 1머그컵,물,review,0.95,검수
대파초록부분,대파,review,0.95,검수
설탕 1/,설탕,review,0.95,검수
홍고추 선택,홍고추,review,0.95,검수
두부 찌개용,찌개용두부,review,0.95,검수
다시마 육수용,다시마,review,0.95,검수
올리고당설탕,올리고당,review,0.95,검수
송송 썬 청양고추,청양고추,review,0.95,검수
밀가루 중력분,중력분,review,0.95,검수
시판 된장,된장,review,0.95,검수
감자中,감자,review,0.95,검수
돼지고기 뒷다리살,뒷다리살,review,0.95,검수
당근 작은것,당근,review,0.95,검수
토마토파스타소스,토마토페이스트,review,0.95,검수
국간장조선간장,국간장,review,0.95,검수
청양 고춧가루,고춧가루,review,0.95,검수
무 중간크기,무,review,0.95,검수
다진 호두,호두,review,0.95,검수
파 잘게 썬,대파,review,0.95,검수
흑후추가루,후추,review,0.95,검수
후추 10바퀴,후추,review,0.95,검수
썬 파,대파,review,0.95,검수
된장 크게,된장,review,0.95,검수
작은양파,양파,review,0.95,검수
구운 김,김,review,0.95,검수
실온버터,버터,review,0.95,검수
우동,우동면,review,0.95,검수
다시마 5cm,다시마,review,0.95,검수
돼지고기뒷다리살,뒷다리살,review,0.95,검수
감자 작은크기,감자,review,0.95,검수
다시마 5* 5,다시마,review,0.95,검수
김치 잘게 썬,배추김치,review,0.95,검수
당근 생략가능,당근,review,0.95,검수
파 다진것,대파,review,0.95,검수
고구마 중간크기,고구마,review,0.95,검수
